,,,,,NJ COVID-19 Cases,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Date,Total,New ,7 Day Avg,%age,7 Day Rate Change,,,,,
,3/20/2020,  896 ,  131 ,,,,,,,,
,3/21/2020,"  1,336 ",  440 ,,32.93%,,,,,,
,3/22/2020,"  1,914 ",  578 ,,30.20%,,,,,,
,3/23/2020,"  2,844 ",  930 ,,32.70%,,,,,,
,3/24/2020,"  3,675 ",  831 ,,22.61%,,,,,,
,3/25/2020,"  4,402 ",  727 ,,16.52%,,,,,,
,3/26/2020,"  6,876 ","  2,474 ",  873 ,35.98%,,,,,,
,3/27/2020,"  8,825 ","  1,949 ","  1,133 ",22.08%,,,,,,
,3/28/2020,"  11,124 ","  2,299 ","  1,398 ",20.67%,123.45%,,,,,
,3/29/2020,"  13,386 ","  2,262 ","  1,639 ",16.90%,117.20%,,,,,
,3/30/2020,"  16,636 ","  3,250 ","  1,970 ",19.54%,120.22%,,,,,
,3/31/2020,"  18,696 ","  2,060 ","  2,146 ",11.02%,108.91%,,,,,
,4/1/2020,"  22,255 ","  3,559 ","  2,550 ",15.99%,118.85%,,,,,
,4/2/2020,"  25,590 ","  3,335 ","  2,673 ",13.03%,104.82%,,,,,
,4/3/2020,"  29,895 ","  4,305 ","  3,010 ",14.40%,112.59%,,,,,
,4/4/2020,"  34,124 ","  4,229 ","  3,286 ",12.39%,109.16%,,,,,
,4/5/2020,"  37,505 ","  3,381 ","  3,446 ",9.01%,104.87%,,,,,
,4/6/2020,"  41,090 ","  3,585 ","  3,493 ",8.72%,101.39%,,,,,
,4/7/2020,"  44,416 ","  3,326 ","  3,674 ",7.49%,105.18%,,,,,
,4/8/2020,"  47,437 ","  3,021 ","  3,597 ",6.37%,97.91%,,,,,
,4/9/2020,"  51,027 ","  3,590 ","  3,634 ",7.04%,101.01%,,,,,
,4/10/2020,"  54,588 ","  3,561 ","  3,528 ",6.52%,97.08%,,,,,
,4/11/2020,"  58,151 ","  3,563 ","  3,432 ",6.13%,97.30%,,,,,
,4/12/2020,"  61,850 ","  3,699 ","  3,478 ",5.98%,101.32%,,,,,
,4/13/2020,"  64,584 ","  2,734 ","  3,356 ",4.23%,96.50%,,,,,
,4/14/2020,"  68,824 ","  4,240 ","  3,487 ",6.16%,103.89%,,,,,
,4/15/2020,"  71,030 ","  2,206 ","  3,370 ",3.11%,96.66%,,,,,
,4/16/2020,"  75,317 ","  4,287 ","  3,470 ",5.69%,102.95%,,,,,
,4/17/2020,"  78,467 ","  3,150 ","  3,411 ",4.01%,98.31%,,,,,
,4/18/2020,"  81,420 ","  2,953 ","  3,324 ",3.63%,97.45%,,,,,
,4/19/2020,"  85,301 ","  3,881 ","  3,350 ",4.55%,100.78%,,,,,
,4/20/2020,"  88,806 ","  3,505 ","  3,460 ",3.95%,103.29%,,,,,
,4/21/2020,"  92,387 ","  3,581 ","  3,366 ",3.88%,97.28%,,,,,
,4/22/2020,"  95,865 ","  3,478 ","  3,548 ",3.63%,105.40%,,,,,
,4/23/2020,"  99,989 ","  4,124 ","  3,525 ",4.12%,99.34%,,,,,
